i,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
32,38,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,204,1,11,1,success,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
33,81,retired,married,basic.4y,no,no,no,cellular,may,mon,617,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
34,34,admin.,married,high.school,no,yes,no,cellular,jun,wed,238,1,6,2,success,-1.7,94.055,-39.8,0.7040000000000001,4991.6,yes
35,42,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,632,5,10,1,success,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
36,48,technician,married,professional.course,no,yes,no,cellular,aug,fri,336,8,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes
37,30,unemployed,married,high.school,no,no,no,cellular,may,mon,417,1,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
38,58,retired,married,basic.4y,no,yes,no,cellular,apr,thu,185,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no
39,45,blue-collar,married,high.school,no,yes,yes,cellular,nov,mon,449,2,5,3,success,-1.1,94.76700000000001,-50.8,1.05,4963.6,yes
40,61,blue-collar,married,basic.6y,no,yes,yes,cellular,may,fri,403,1,3,2,success,-1.8,93.876,-40.0,0.695,5008.7,yes
41,67,housemaid,divorced,professional.course,no,yes,no,cellular,nov,mon,655,2,5,5,success,-1.1,94.76700000000001,-50.8,1.0390000000000001,4963.6,yes
42,73,retired,married,university.degree,no,yes,no,cellular,mar,fri,179,1,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.531,5099.1,yes
43,30,technician,married,university.degree,no,no,no,cellular,jun,fri,171,1,7,1,success,-1.7,94.055,-39.8,0.748,4991.6,no
44,44,self-employed,single,professional.course,no,yes,no,cellular,may,mon,775,5,999,1,failure,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
45,30,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,988,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
46,29,technician,married,professional.course,no,no,no,telephone,may,fri,886,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,yes
47,31,technician,single,university.degree,no,no,no,telephone,oct,thu,154,1,999,0,nonexistent,-0.1,93.79799999999999,-40.4,4.794,5195.8,yes
48,44,entrepreneur,married,basic.4y,no,yes,no,cellular,may,tue,955,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,yes
49,51,blue-collar,married,high.school,no,yes,no,cellular,may,wed,809,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,yes
50,38,management,married,university.degree,no,yes,no,cellular,may,fri,1276,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,yes
51,33,admin.,married,university.degree,no,yes,no,cellular,jun,tue,690,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
52,23,student,single,high.school,no,yes,no,cellular,oct,mon,226,2,999,1,failure,-1.1,94.601,-49.5,1.032,4963.6,yes
53,33,technician,married,professional.course,no,no,no,cellular,apr,thu,285,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,yes
54,37,management,married,university.degree,no,yes,no,cellular,jul,fri,292,1,6,1,success,-1.7,94.215,-40.3,0.8959999999999999,4991.6,yes
55,31,technician,married,basic.9y,no,no,yes,cellular,jul,thu,1319,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,yes
56,36,technician,single,professional.course,no,no,no,cellular,jun,fri,146,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
57,40,technician,single,university.degree,no,no,no,cellular,nov,mon,130,1,7,2,failure,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
58,35,services,married,professional.course,no,yes,no,cellular,apr,thu,218,2,6,1,success,-1.8,93.749,-34.6,0.644,5008.7,yes
59,54,admin.,married,university.degree,no,yes,yes,cellular,aug,fri,204,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.8490000000000001,5076.2,yes
60,42,admin.,married,high.school,no,no,no,cellular,nov,mon,651,2,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,yes
61,31,student,single,university.degree,no,no,no,cellular,jul,fri,608,3,6,2,success,-1.7,94.215,-40.3,0.885,4991.6,yes
62,25,student,single,high.school,no,no,no,cellular,nov,thu,244,1,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.041,4963.6,yes
63,34,technician,married,university.degree,no,yes,no,cellular,nov,wed,686,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,yes
64,34,technician,single,university.degree,no,yes,yes,cellular,aug,wed,455,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
65,25,admin.,single,university.degree,no,yes,no,cellular,sep,thu,420,1,1,1,success,-3.4,92.37899999999999,-29.8,0.809,5017.5,no
66,58,unemployed,married,university.degree,no,yes,no,cellular,nov,thu,344,2,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.041,4963.6,yes
67,30,technician,single,high.school,no,no,no,cellular,aug,mon,638,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
68,57,retired,married,basic.4y,no,yes,yes,telephone,apr,tue,1348,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
69,41,entrepreneur,married,university.degree,no,yes,no,cellular,aug,thu,324,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
70,35,admin.,married,university.degree,no,yes,no,cellular,sep,wed,110,2,18,2,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6,no
71,41,technician,married,professional.course,no,yes,no,cellular,nov,mon,545,2,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.0390000000000001,4963.6,yes
72,42,services,married,university.degree,no,no,no,cellular,dec,wed,179,1,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,yes
73,31,blue-collar,single,basic.9y,no,no,no,telephone,jun,wed,767,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
74,31,admin.,married,high.school,no,no,no,cellular,oct,thu,142,1,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
75,33,admin.,married,university.degree,no,yes,no,cellular,nov,fri,482,1,12,1,success,-1.1,94.76700000000001,-50.8,1.0490000000000002,4963.6,yes
76,45,housemaid,single,basic.4y,no,no,no,telephone,sep,mon,569,4,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.797,5017.5,yes
77,41,technician,married,high.school,no,no,no,cellular,aug,mon,697,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
78,75,retired,married,university.degree,no,yes,no,cellular,jul,thu,229,1,999,2,failure,-1.7,94.215,-40.3,0.81,4991.6,yes
79,35,blue-collar,married,basic.9y,no,yes,no,cellular,dec,thu,105,1,4,3,success,-3.0,92.713,-33.0,0.7070000000000001,5023.5,no
80,47,admin.,single,university.degree,no,yes,no,cellular,jun,mon,243,4,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,yes
81,27,technician,single,university.degree,no,yes,no,cellular,oct,wed,184,1,999,1,failure,-1.1,94.601,-49.5,1.043,4963.6,yes
82,30,services,single,high.school,no,yes,no,cellular,jun,mon,181,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
83,41,admin.,married,university.degree,no,no,no,cellular,jul,mon,1360,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes
84,39,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,650,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
85,48,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,544,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
86,57,admin.,single,high.school,no,yes,no,telephone,may,mon,26,5,12,1,success,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
87,21,student,single,high.school,no,yes,yes,cellular,jun,wed,286,2,999,0,nonexistent,-1.7,94.055,-39.8,0.767,4991.6,yes
88,31,technician,married,university.degree,no,no,no,cellular,oct,tue,146,2,12,3,failure,-1.1,94.601,-49.5,0.982,4963.6,no
89,56,management,married,basic.9y,no,yes,no,telephone,jun,tue,941,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
90,38,admin.,married,university.degree,no,yes,no,cellular,nov,tue,64,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,yes
91,24,admin.,single,high.school,no,yes,yes,cellular,mar,wed,224,1,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.6019999999999999,5099.1,yes
92,30,technician,single,university.degree,no,yes,no,cellular,sep,fri,173,2,15,4,failure,-1.1,94.199,-37.5,0.879,4963.6,yes
93,51,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,653,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
94,54,management,married,university.degree,no,no,no,cellular,may,mon,397,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.264,5099.1,yes
95,26,student,single,basic.9y,no,yes,no,cellular,mar,mon,1447,2,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.811,5099.1,yes
96,35,self-employed,single,university.degree,no,no,yes,cellular,nov,wed,197,1,3,1,success,-0.1,93.2,-42.0,4.12,5195.8,no
97,51,unemployed,married,basic.6y,no,no,no,cellular,jun,thu,280,2,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
98,33,technician,single,professional.course,no,yes,no,cellular,aug,tue,396,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
99,25,blue-collar,single,high.school,no,no,no,cellular,may,fri,1068,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,yes
100,54,admin.,single,university.degree,no,no,no,cellular,may,mon,337,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.264,5099.1,yes
101,27,admin.,single,university.degree,no,no,no,cellular,may,mon,409,1,1,1,success,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
102,36,admin.,single,basic.9y,no,yes,no,cellular,may,tue,458,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,yes
103,50,admin.,married,university.degree,no,no,no,cellular,aug,tue,587,2,999,1,failure,-2.9,92.20100000000001,-31.4,0.8590000000000001,5076.2,yes
104,48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,288,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes
105,33,admin.,married,university.degree,no,yes,no,cellular,sep,thu,272,2,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,yes
106,39,self-employed,divorced,high.school,no,no,no,cellular,sep,tue,261,1,3,1,success,-3.4,92.37899999999999,-29.8,0.7879999999999999,5017.5,yes
107,52,management,married,high.school,no,yes,yes,cellular,aug,tue,167,1,10,4,failure,-2.9,92.20100000000001,-31.4,0.883,5076.2,yes
108,27,admin.,single,university.degree,no,no,no,cellular,may,tue,134,1,3,1,success,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
109,50,technician,married,high.school,no,yes,no,cellular,dec,mon,229,1,999,1,failure,-3.0,92.713,-33.0,0.7170000000000001,5023.5,yes
110,37,entrepreneur,single,basic.9y,no,yes,no,cellular,may,tue,222,1,2,1,success,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
111,35,admin.,married,university.degree,no,no,no,cellular,jun,thu,121,4,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
112,29,admin.,single,university.degree,no,no,no,cellular,aug,mon,716,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
113,29,blue-collar,divorced,high.school,no,no,no,cellular,may,fri,760,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,yes
114,36,blue-collar,single,basic.9y,no,yes,yes,telephone,jun,thu,762,3,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,yes
115,34,management,single,high.school,no,yes,yes,cellular,nov,wed,201,2,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,no
116,39,technician,married,high.school,no,yes,no,cellular,may,tue,451,4,3,1,success,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
117,28,management,single,university.degree,no,no,no,telephone,jun,thu,651,5,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,yes
118,71,retired,married,basic.4y,no,yes,yes,cellular,oct,tue,120,1,6,1,success,-3.4,92.431,-26.9,0.728,5017.5,no
119,30,admin.,single,university.degree,no,no,no,cellular,nov,fri,331,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,yes
120,78,retired,married,high.school,no,yes,no,cellular,may,mon,754,2,3,2,failure,-1.8,92.89299999999999,-46.2,1.264,5099.1,no
121,37,admin.,single,high.school,no,no,no,cellular,jul,thu,609,2,7,3,success,-1.7,94.215,-40.3,0.782,4991.6,yes
122,71,retired,married,high.school,no,no,no,cellular,sep,mon,363,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
123,58,admin.,single,university.degree,no,no,no,telephone,may,mon,1234,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
124,32,unemployed,married,professional.course,no,yes,no,telephone,nov,tue,486,1,999,0,nonexistent,-0.1,93.2,-42.0,4.343,5195.8,yes
125,33,admin.,single,high.school,no,yes,no,cellular,oct,mon,61,2,6,2,failure,-3.4,92.431,-26.9,0.731,5017.5,no
126,27,admin.,single,university.degree,no,no,no,cellular,mar,tue,238,4,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,yes
127,39,technician,married,high.school,no,no,no,cellular,nov,fri,749,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,yes
128,31,admin.,single,university.degree,no,yes,no,cellular,jul,wed,1327,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,yes
129,39,technician,married,professional.course,no,yes,no,cellular,aug,mon,247,1,4,1,success,-2.9,92.20100000000001,-31.4,0.884,5076.2,no
130,47,admin.,divorced,university.degree,no,yes,no,telephone,jun,fri,2653,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
131,32,admin.,single,high.school,no,no,no,cellular,apr,thu,1143,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
132,36,admin.,married,university.degree,no,yes,no,cellular,jul,wed,570,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
133,42,admin.,single,university.degree,no,yes,yes,telephone,may,wed,938,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,yes
134,68,retired,married,university.degree,no,yes,no,cellular,jul,mon,546,2,999,1,failure,-1.7,94.215,-40.3,0.889,4991.6,yes
135,33,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,728,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,yes
136,31,technician,married,university.degree,no,no,no,cellular,sep,thu,244,1,3,1,success,-1.1,94.199,-37.5,0.878,4963.6,yes
137,38,technician,married,university.degree,no,no,no,cellular,jun,wed,539,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
138,45,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,367,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
139,54,unemployed,married,basic.9y,no,no,no,cellular,may,wed,193,1,3,1,success,-1.8,92.89299999999999,-46.2,1.27,5099.1,yes
140,54,retired,married,basic.4y,no,no,yes,cellular,oct,thu,164,2,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
141,78,retired,married,basic.4y,no,no,no,cellular,jul,mon,1148,1,999,0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,yes
142,27,services,single,high.school,no,no,no,cellular,jul,fri,423,3,999,0,nonexistent,-1.7,94.215,-40.3,0.79,4991.6,yes
143,26,technician,single,professional.course,no,yes,no,cellular,sep,fri,249,1,3,3,success,-1.1,94.199,-37.5,0.879,4963.6,yes
144,80,retired,married,basic.4y,no,no,no,cellular,may,mon,382,1,3,3,success,-1.8,93.876,-40.0,0.6970000000000001,5008.7,yes
145,32,admin.,single,university.degree,no,yes,no,cellular,may,wed,412,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.27,5099.1,yes
146,33,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,1183,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
147,44,services,divorced,high.school,no,no,no,cellular,may,mon,903,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,yes
148,39,admin.,divorced,university.degree,no,no,yes,cellular,jul,mon,375,3,999,0,nonexistent,-1.7,94.215,-40.3,0.8270000000000001,4991.6,yes
149,44,admin.,divorced,high.school,no,yes,no,telephone,nov,mon,1628,2,6,1,success,-3.4,92.649,-30.1,0.7190000000000001,5017.5,yes
150,54,retired,married,basic.4y,no,yes,no,cellular,apr,fri,840,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
151,29,blue-collar,single,basic.9y,no,no,yes,cellular,oct,wed,107,2,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,yes
152,29,admin.,married,university.degree,no,no,yes,cellular,jun,tue,347,3,5,1,success,-1.7,94.055,-39.8,0.7020000000000001,4991.6,yes
153,33,blue-collar,married,basic.6y,no,yes,no,cellular,apr,wed,351,3,999,0,nonexistent,-1.8,93.075,-47.1,1.4980000000000002,5099.1,yes
154,44,services,divorced,high.school,no,yes,no,cellular,may,thu,533,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,yes
155,27,admin.,single,university.degree,no,yes,no,cellular,aug,wed,429,2,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.879,5076.2,yes
156,41,admin.,married,university.degree,no,no,no,cellular,aug,tue,766,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes
157,29,services,single,high.school,no,yes,yes,cellular,jun,wed,431,2,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
158,37,technician,single,university.degree,no,yes,no,cellular,aug,tue,481,2,999,4,failure,-1.7,94.027,-38.3,0.899,4991.6,yes
159,55,admin.,married,high.school,no,no,yes,cellular,apr,wed,307,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
160,50,blue-collar,married,basic.4y,no,no,no,cellular,jul,mon,1130,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
161,48,management,married,university.degree,no,yes,yes,cellular,nov,tue,747,2,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
162,47,admin.,divorced,high.school,no,yes,no,cellular,sep,tue,188,1,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,no
163,33,blue-collar,single,high.school,no,no,no,cellular,may,mon,2301,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,yes
164,43,technician,married,professional.course,no,no,no,cellular,may,thu,460,1,999,1,failure,-1.8,93.876,-40.0,0.6990000000000001,5008.7,yes
165,30,admin.,married,university.degree,no,yes,no,cellular,apr,tue,496,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes
166,34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,568,1,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,yes
167,42,technician,married,professional.course,no,no,no,cellular,aug,thu,295,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,yes
168,41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
169,33,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,1019,11,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,yes
170,51,admin.,married,university.degree,no,yes,no,cellular,aug,thu,212,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8290000000000001,5076.2,yes
171,36,management,divorced,university.degree,no,yes,no,cellular,jun,mon,422,1,3,4,success,-1.7,94.055,-39.8,0.72,4991.6,yes
172,37,technician,single,university.degree,no,yes,no,cellular,jun,fri,300,1,999,2,failure,-1.7,94.055,-39.8,0.748,4991.6,yes
173,30,self-employed,married,university.degree,no,no,no,cellular,jun,mon,212,4,999,0,nonexistent,-1.7,94.055,-39.8,0.72,4991.6,yes
174,31,self-employed,single,university.degree,no,no,no,cellular,dec,wed,854,1,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,yes
175,28,unemployed,single,basic.9y,no,no,yes,cellular,aug,tue,261,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,yes
176,42,technician,married,high.school,no,yes,no,cellular,apr,thu,163,1,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,yes
177,37,technician,married,university.degree,no,yes,no,cellular,oct,wed,364,1,999,1,failure,-3.4,92.431,-26.9,0.742,5017.5,yes
178,41,admin.,married,university.degree,no,yes,no,cellular,jul,fri,269,7,6,3,success,-1.7,94.215,-40.3,0.8959999999999999,4991.6,no
179,36,self-employed,single,university.degree,no,no,yes,cellular,jun,mon,458,1,4,4,success,-1.7,94.055,-39.8,0.72,4991.6,yes
180,32,unemployed,single,professional.course,no,yes,yes,cellular,jun,wed,310,1,999,0,nonexistent,-1.7,94.055,-39.8,0.7040000000000001,4991.6,yes
181,56,technician,divorced,university.degree,no,no,no,cellular,nov,fri,178,2,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,yes
182,32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,210,2,15,1,success,-1.7,94.215,-40.3,0.846,4991.6,no
183,41,admin.,married,university.degree,no,yes,no,cellular,nov,tue,95,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes
184,35,admin.,married,university.degree,no,yes,no,cellular,apr,thu,330,1,10,1,success,-1.8,93.749,-34.6,0.644,5008.7,yes
185,40,unemployed,single,basic.4y,no,no,no,cellular,jun,tue,355,1,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
186,29,admin.,single,university.degree,no,no,no,cellular,jul,wed,873,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,yes
187,39,unemployed,single,university.degree,no,yes,no,cellular,dec,mon,387,1,6,2,success,-3.0,92.713,-33.0,0.706,5023.5,yes
188,30,admin.,single,university.degree,no,yes,no,cellular,jun,wed,617,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
189,39,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,476,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,yes
190,26,admin.,married,high.school,no,yes,no,cellular,nov,fri,338,1,7,1,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
191,32,admin.,married,high.school,no,yes,no,cellular,may,mon,689,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,yes
